1.283618582,148.472479
13.70892719,172.1447313
25.40252848,195.0852764
6.212952472,111.3480231
18.1504562,134.5324706
30.57606297,157.9605224
42.51386487,180.9007693
9.920686982,74.71345936
22.34659193,97.89731051
34.5288926,120.5930586
46.95479754,143.7769098
59.13650188,166.9610591
71.07370744,190.3897072
14.36251416,36.85699803
26.78841911,60.04084919
38.9695271,83.71339973
51.15152961,106.6533484
63.33353211,129.5932972
75.75943706,152.7771483
87.45274018,175.961894
99.87924146,198.6573439
116.5012821,185.2060349
104.5640766,161.7773868
92.13817163,138.5935357
79.95616912,115.653587
68.01836723,92.71334009
55.34885801,69.04138589
43.16775001,45.36883535
30.74184507,22.1849842
47.60838452,8.489176457
59.54588825,31.67362395
72.2159938,54.85717693
84.15319936,78.28582503
96.57940247,101.2254756
108.7608086,124.6538255
121.4312124,147.5931779
133.3687161,170.7776254
145.0620192,193.962371
76.16852525,17.73391377
88.83863081,40.91746675
101.2642376,64.34551852
113.4459419,87.52966784
125.6276463,110.7138172
137.8096488,133.6537659
150.2352555,157.0818176
162.1727593,180.2662651
190.9776969,189.0223031
179.2849902,165.3491562
166.858787,142.4095056
155.1651858,119.4689606
142.7389826,96.52931004
129.8249747,73.10185461
118.1322679,49.42870773
104.9728666,26.97835291
92.7917586,3.305802373
122.0845012,12.54964518
134.7546067,35.73319816
147.181108,58.4286481
160.0954142,81.61190292
172.2768203,105.0402528
153.0875425,21.05879897
165.269545,43.99874769
177.4500567,68.15969945
190.3649592,90.85455304
197.1328111,151.0948905
183.7460685,128.2238443
196.0328764,53.04136253
183.1339386,30.1703163
170.4783099,7.785888078
